CCN,Facility,Street,City,State,ZIP,Transplant Program Type Code,Transplant Program Type,Original Participation Date,Effective Date,Program Recertification Date,OPTN Code,Original Program?
529801,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE  5TH FLOOR GALLERIA BUILDING,MILWAUKEE,WI,53215,APA,Adult Pancreas,7/1/1966,4/29/2009,8/18/2021,WISL,Y
529802,UNIVERSITY OF WISCONSIN HOSPITALS AND CLINICS,600 HIGHLAND AVE,MADISON,WI,53792,AHL,Adult Heart Lung,2/2/1995,9/23/2009,9/15/2021,WIUW,Y
529802,UNIVERSITY OF WISCONSIN HOSPITALS AND CLINICS,600 HIGHLAND AVE,MADISON,WI,53792,AHO,Adult Heart Only,9/24/1991,9/23/2009,9/15/2021,WIUW,Y
529802,UNIVERSITY OF WISCONSIN HOSPITALS AND CLINICS,600 HIGHLAND AVE,MADISON,WI,53792,AKO,Adult Kidney Only,7/1/1966,9/23/2009,9/15/2021,WIUW,Y
529802,UNIVERSITY OF WISCONSIN HOSPITALS AND CLINICS,600 HIGHLAND AVE,MADISON,WI,53792,ALI,Adult Liver Only,3/8/1990,9/23/2009,9/15/2021,WIUW,Y
529802,UNIVERSITY OF WISCONSIN HOSPITALS AND CLINICS,600 HIGHLAND AVE,MADISON,WI,53792,ALO,Adult Lung Only,2/2/1995,9/23/2009,9/15/2021,WIUW,Y
529802,UNIVERSITY OF WISCONSIN HOSPITALS AND CLINICS,600 HIGHLAND AVE,MADISON,WI,53792,APA,Adult Pancreas,7/1/1966,9/23/2009,9/15/2021,WIUW,Y
529803,CHILDRENS HOSPITAL OF WISCONSIN,9000 W WISCONSIN AVENUE,MILWAUKEE,WI,53226,PHO,Pediatric Heart Only,3/5/2015,3/5/2015,2/7/2024,WICH,N
529803,CHILDRENS HOSPITAL OF WISCONSIN,9000 W WISCONSIN AVENUE,MILWAUKEE,WI,53226,PKO,Pediatric Kidney Only,4/15/2010,4/15/2010,2/7/2024,WICH,N
529803,CHILDRENS HOSPITAL OF WISCONSIN,9000 W WISCONSIN AVENUE,MILWAUKEE,WI,53226,PLI,Pediatric Liver,4/25/2013,4/25/2013,2/7/2024,WICH,N
529804,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,9200 W WISCONSIN AVE,MILWAUKEE,WI,53226,AHO,Adult Heart Only,1/24/2018,1/24/2018,7/16/2025,WISE,N
529804,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,9200 W WISCONSIN AVE,MILWAUKEE,WI,53226,AKO,Adult Kidney Only,11/21/1983,7/21/2010,7/16/2025,WISE,Y
529804,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,9200 W WISCONSIN AVE,MILWAUKEE,WI,53226,ALI,Adult Liver Only,5/19/1995,7/21/2010,7/16/2025,WISE,Y
529804,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,9200 W WISCONSIN AVE,MILWAUKEE,WI,53226,ALI,Adult Liver Only,9/13/2023,9/13/2023,7/16/2025,WISE,N
529804,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,9200 W WISCONSIN AVE,MILWAUKEE,WI,53226,ALO,Adult Lung Only,8/30/2013,8/30/2013,7/16/2025,WISE,N
529804,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,9200 W WISCONSIN AVE,MILWAUKEE,WI,53226,APA,Adult Pancreas,11/21/1983,7/21/2010,7/16/2025,WISE,Y
